"country","department","COD","municipality","scale","year","bronchial_emphysema","myocardial","cerebral_infarction","chagas","conduct_cardiac","conjunctivitis","laryngitis","cutaneous_leishmaniasis","malaria","hantavirus","rickettsia","neoplasm_respiratory","acute_resp","chronic_resp","pharyngitis","pneumonia","pulmonary_embolism","tonsillitis"
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2010,0,0,0,0,1,5,1,4,18,0,0,0,23,1,12,6,0,8
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2011,0,1,0,0,1,8,1,5,25,0,0,0,39,2,14,9,0,12
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2012,0,0,0,0,2,5,1,6,40,0,0,0,24,0,5,5,0,16
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2013,0,0,0,1,0,11,4,3,19,0,0,0,44,1,3,8,0,13
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2014,0,0,0,0,0,30,2,8,11,0,0,0,119,1,29,2,0,17
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2015,0,0,0,1,3,21,4,3,5,0,0,0,111,3,10,6,0,22
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2016,0,0,1,1,3,32,1,7,4,0,0,0,94,2,20,14,0,19
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2017,0,1,2,0,12,70,1,4,28,0,0,0,83,4,31,5,2,1
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2018,0,0,0,0,12,9,3,2,38,0,0,1,96,4,16,6,0,0
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2019,0,1,1,0,3,13,1,1,25,0,0,0,85,1,19,5,0,0
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2020,0,0,1,0,0,7,2,13,23,0,0,0,37,0,8,1,0,0
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2021,0,0,0,0,1,5,2,1,24,0,0,0,20,1,0,1,0,1
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2022,0,0,2,0,0,8,0,0,7,0,0,0,60,2,0,4,0,0
"Guiana FR",NA,"GUF.1.8_1","Regina (+Kaw)","municipality",2023,0,0,2,0,1,11,2,0,9,0,0,0,38,2,3,5,0,0
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2006,0,0,0,0,4,18,1,7,108,0,0,0,80,1,5,4,0,31
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2007,0,3,0,0,4,37,15,10,28,0,0,1,73,2,4,5,0,22
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2008,0,0,0,0,0,34,4,7,8,0,0,1,132,0,6,0,0,79
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2009,0,0,0,0,2,27,0,6,19,0,0,0,119,0,6,1,0,42
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2010,0,0,1,0,1,28,2,8,10,0,0,0,69,1,42,5,0,47
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2011,0,0,0,0,2,23,0,6,13,0,0,1,86,3,50,13,0,35
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2012,0,0,0,1,1,26,2,3,1,0,0,1,82,0,17,7,0,31
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2013,0,1,0,0,2,23,3,2,1,0,0,0,91,2,19,5,0,38
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2014,0,0,0,0,2,39,3,8,5,0,0,0,83,0,22,3,0,31
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2015,0,1,1,1,3,38,4,3,0,0,0,0,108,0,15,2,0,25
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2016,0,0,1,0,7,40,5,8,0,0,0,0,66,1,27,5,1,13
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2017,0,0,0,0,5,57,3,5,0,0,0,0,70,3,37,3,1,44
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2018,0,0,1,0,8,17,5,3,3,0,0,0,95,6,35,7,1,54
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2019,0,0,1,0,2,19,3,0,0,0,0,1,61,3,23,4,0,16
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2020,0,0,1,0,0,22,1,16,2,0,0,0,50,0,20,3,0,13
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2021,0,1,2,0,1,13,1,2,4,0,0,0,38,4,10,9,0,9
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2022,0,1,0,0,2,17,7,1,0,0,0,0,61,4,4,11,0,11
"Guiana FR",NA,"GUF.1.10_1","Roura (+Cacao)","municipality",2023,0,1,0,0,3,20,3,1,21,0,0,0,69,1,4,6,1,19
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2008,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2009,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2010,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2011,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2012,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2013,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2014,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2015,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.9_1","Rémire-Montjoly","municipality",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2008,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2009,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2010,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2011,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2012,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2013,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2014,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2015,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.11_1","Saint Elie","municipality",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2006,0,1,1,2,1,42,9,2,302,0,0,0,367,2,9,25,0,55
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2007,0,1,2,1,6,99,3,2,356,0,0,1,398,1,7,5,0,143
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2008,0,0,2,1,4,102,2,2,372,0,0,0,365,0,3,8,0,133
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2009,0,3,3,0,2,85,3,8,341,0,0,0,537,1,3,14,0,170
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2010,0,2,3,0,6,109,7,10,231,0,0,0,549,3,10,11,0,170
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2011,0,1,3,0,9,81,4,11,211,0,0,1,591,0,32,7,0,162
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2012,0,0,5,0,7,98,1,8,157,0,0,2,612,4,7,6,0,137
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2013,0,2,3,0,1,48,0,5,94,0,0,1,376,1,7,17,0,109
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2014,0,2,1,0,2,43,1,8,42,0,0,0,331,0,7,35,0,62
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2015,0,0,5,1,12,86,4,4,77,0,0,0,680,2,11,46,0,109
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2016,0,2,2,1,14,55,6,19,42,0,0,1,607,1,31,113,0,114
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2017,0,1,2,3,7,157,10,7,192,0,0,1,548,2,74,116,1,79
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2018,0,0,7,1,7,52,23,13,142,0,0,1,733,5,44,56,0,88
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2019,0,5,12,2,10,46,12,9,39,0,0,0,480,6,84,36,0,68
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2020,0,1,13,0,14,34,2,36,15,0,0,0,283,5,30,28,0,53
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2021,0,3,19,0,10,45,8,12,8,0,0,1,345,4,14,58,0,84
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2022,0,10,17,0,7,45,2,10,6,0,0,0,383,3,35,84,1,92
"Guiana FR",NA,"GUF.1.12_1","Saint Georges","municipality",2023,0,7,14,0,6,31,7,14,33,0,0,0,419,9,27,44,1,43
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2008,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2009,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2010,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2011,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2012,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2013,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2014,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2015,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.7_1","Saint Laurent du Maroni","municipality",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2006,0,0,0,0,1,3,6,2,14,0,0,0,22,0,2,0,0,6
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2007,0,1,0,0,2,8,5,4,21,0,0,1,24,1,2,0,0,12
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2008,0,0,0,0,0,9,6,5,105,0,0,0,26,0,1,2,0,8
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2009,0,0,0,0,2,11,0,4,83,0,0,0,29,2,3,3,0,15
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2010,0,0,0,0,1,20,2,4,31,0,0,0,42,0,2,2,0,14
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2011,0,0,0,0,0,14,3,7,13,0,0,0,35,0,2,1,0,14
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2012,0,0,0,0,2,3,0,2,1,0,0,0,8,0,0,1,0,5
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2013,0,0,0,0,0,5,4,4,3,0,0,0,11,0,2,2,0,10
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2014,0,0,1,0,0,5,1,4,1,0,0,0,10,0,0,1,0,8
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2015,0,0,0,0,0,6,0,0,1,0,0,0,19,0,0,0,0,13
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2016,0,0,0,0,2,5,0,6,0,0,0,0,27,0,1,1,0,3
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2017,0,0,0,0,0,1,0,0,3,0,0,1,4,0,0,0,0,2
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2018,0,0,0,0,1,3,0,3,0,0,0,1,4,0,4,0,0,5
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2019,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,0,2
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2020,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2021,0,0,0,0,1,4,1,0,0,0,0,0,3,0,0,1,0,5
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2022,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
"Guiana FR",NA,"GUF.2.8_1","Saul","municipality",2023,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,1
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2008,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2009,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2010,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2011,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2012,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2013,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2014,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2015,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.13_1","Sinnamary","municipality",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
