"country","department","municipality","scale","COD","year","malaria_pVivax","malaria_pFalci"
"Venezuela","Bolivar/HERES","ORINOCO","parroquia","VE070507",1996,0,0
"Venezuela","Bolivar/HERES","CATEDRAL","parroquia","VE070502",1996,0,0
"Venezuela","Bolivar/HERES","AGUA SALADA","parroquia","VE070501",1996,0,0
"Venezuela","Bolivar/HERES","LA SABANITA","parroquia","VE070504",1996,0,0
"Venezuela","Bolivar/HERES","VISTA HERMOSA","parroquia","VE070506",1996,0,0
"Venezuela","Bolivar/SUCRE","MOITACO","parroquia","VE071005",1996,0,0
"Venezuela","Bolivar/HERES","JOSE ANTONIO PAEZ","parroquia","VE070503",1996,0,0
"Venezuela","Bolivar/PIAR","A. E. BLANCO","parroquia","VE070602",1996,0,0
"Venezuela","Bolivar/HERES","ZEA","parroquia","VE070509",1996,0,0
"Venezuela","Bolivar/SIFONTES","SECCION CAPITAL SIFONTES","parroquia","VE070901",1996,1,0
"Venezuela","Bolivar/RAUL LEONI","S. C. RAUL LEONI","parroquia","VE070701",1996,0,0
"Venezuela","Bolivar/ROSCIO","SALOM","parroquia","VE070802",1996,0,0
"Venezuela","Bolivar/CEDEÑO","ALTAGRACIA","parroquia","VE070202",1996,16,4
"Venezuela","Bolivar/CEDEÑO","ASCENCION FARRERAS","parroquia","VE070203",1996,137,82
"Venezuela","Bolivar/PIAR","PEDRO COVA","parroquia","VE070603",1996,1,0
"Venezuela","Bolivar/ROSCIO","S. C. ROSCIO","parroquia","VE070801",1996,0,0
"Venezuela","Bolivar/SUCRE","LAS MAJADAS","parroquia","VE071004",1996,508,0
"Venezuela","Bolivar/CEDEÑO","SECCION CAPITAL CEDEÑO","parroquia","VE070201",1996,162,60
"Venezuela","Bolivar/EL CALLAO","C. EL CALLAO","parroquia","VE070301",1996,0,0
"Venezuela","Bolivar/RAUL LEONI","SANTA BARBARA","parroquia","VE070704",1996,0,0
"Venezuela","Bolivar/SUCRE","GUARATARO","parroquia","VE071003",1996,0,0
"Venezuela","Bolivar/SUCRE","S. C. SUCRE","parroquia","VE071001",1996,0,0
"Venezuela","Bolivar/RAUL LEONI","SAN FRANCISCO","parroquia","VE070703",1996,0,0
"Venezuela","Bolivar/SUCRE","ARIPAO","parroquia","VE071002",1996,0,0
"Venezuela","Bolivar/CEDEÑO","LA URBANA","parroquia","VE070205",1996,222,5
"Venezuela","Bolivar/SIFONTES","DALLA COSTA","parroquia","VE070902",1996,0,0
"Venezuela","Bolivar/CEDEÑO","GUANIAMO","parroquia","VE070204",1996,0,0
"Venezuela","Bolivar/RAUL LEONI","BARCELONETA","parroquia","VE070702",1996,2068,444
"Venezuela","Bolivar/CEDEÑO","PIJIGUAOS","parroquia","VE070206",1996,0,0
"Venezuela","Bolivar/SIFONTES","SAN ISIDRO","parroquia","VE070903",1996,557,0
"Venezuela","Bolivar/GRAN SABANA","SECCION CAPITAL GRAN SABANA","parroquia","VE070401",1996,827,250
"Venezuela","Bolivar/GRAN SABANA","IKABARU","parroquia","VE070402",1996,0,0
"Venezuela","Bolivar/CARONI","ONCE DE ABRIL","parroquia","VE070104",1997,0,0
"Venezuela","Bolivar/PADRE PEDRO CHIEN","C. P. P. CHIEN","parroquia","VE071101",1997,0,0
"Venezuela","Bolivar/CARONI","SIMON BOLIVAR","parroquia","VE070105",1997,0,0
"Venezuela","Bolivar/CARONI","VISTA AL SOL","parroquia","VE070108",1997,0,0
"Venezuela","Bolivar/CARONI","YOCOIMA","parroquia","VE070110",1997,0,0
"Venezuela","Bolivar/PIAR","SECCION CAPITAL PIAR","parroquia","VE070601",1997,0,0
"Venezuela","Bolivar/CARONI","CHIRICA","parroquia","VE070102",1997,0,0
"Venezuela","Bolivar/CARONI","DALLA COSTA","parroquia","VE070103",1997,0,0
"Venezuela","Bolivar/CARONI","UNARE","parroquia","VE070106",1997,0,0
"Venezuela","Bolivar/HERES","PANAPANA","parroquia","VE070508",1997,0,0
"Venezuela","Bolivar/CARONI","CACHAMAY","parroquia","VE070101",1997,0,0
"Venezuela","Bolivar/CARONI","UNIVERSIDAD","parroquia","VE070107",1997,0,0
"Venezuela","Bolivar/CARONI","POZO VERDE","parroquia","VE070109",1997,0,0
"Venezuela","Bolivar/HERES","MARHUANTA","parroquia","VE070505",1997,0,0
"Venezuela","Bolivar/HERES","ORINOCO","parroquia","VE070507",1997,0,0
"Venezuela","Bolivar/HERES","CATEDRAL","parroquia","VE070502",1997,0,0
"Venezuela","Bolivar/HERES","AGUA SALADA","parroquia","VE070501",1997,0,0
"Venezuela","Bolivar/HERES","LA SABANITA","parroquia","VE070504",1997,0,0
"Venezuela","Bolivar/HERES","VISTA HERMOSA","parroquia","VE070506",1997,0,0
